,EMPLOYER_NAME,JOB_TITLE,YEAR,STATE,cer_COUNT,non_COUNT
0,ACCENTURE LLP,BUSINESS ANALYST,2011,CONNECTICUT,1,0
1,ACCENTURE LLP,BUSINESS ANALYST,2011,MINNESOTA,1,0
2,ACCENTURE LLP,BUSINESS ANALYST,2011,MISSOURI,1,0
3,ACCENTURE LLP,BUSINESS ANALYST,2011,NEW JERSEY,1,0
4,ACCENTURE LLP,BUSINESS ANALYST,2012,ARKANSAS,1,0
5,ACCENTURE LLP,BUSINESS ANALYST,2012,CALIFORNIA,3,0
6,ACCENTURE LLP,BUSINESS ANALYST,2012,COLORADO,1,0
7,ACCENTURE LLP,BUSINESS ANALYST,2012,CONNECTICUT,11,0
8,ACCENTURE LLP,BUSINESS ANALYST,2012,DELAWARE,3,0
9,ACCENTURE LLP,BUSINESS ANALYST,2012,GEORGIA,3,0
10,ACCENTURE LLP,BUSINESS ANALYST,2012,ILLINOIS,13,0
11,ACCENTURE LLP,BUSINESS ANALYST,2012,MASSACHUSETTS,1,1
12,ACCENTURE LLP,BUSINESS ANALYST,2012,MICHIGAN,1,0
13,ACCENTURE LLP,BUSINESS ANALYST,2012,MINNESOTA,2,0
14,ACCENTURE LLP,BUSINESS ANALYST,2012,NEW JERSEY,4,0
15,ACCENTURE LLP,BUSINESS ANALYST,2012,NEW YORK,1,0
16,ACCENTURE LLP,BUSINESS ANALYST,2012,NORTH CAROLINA,3,0
17,ACCENTURE LLP,BUSINESS ANALYST,2012,OHIO,1,0
18,ACCENTURE LLP,BUSINESS ANALYST,2012,OKLAHOMA,1,0
19,ACCENTURE LLP,BUSINESS ANALYST,2012,RHODE ISLAND,2,0
20,ACCENTURE LLP,BUSINESS ANALYST,2012,TEXAS,4,0
21,ACCENTURE LLP,BUSINESS ANALYST,2012,WASHINGTON,1,0
22,ACCENTURE LLP,BUSINESS ANALYST,2013,CALIFORNIA,9,0
23,ACCENTURE LLP,BUSINESS ANALYST,2013,CONNECTICUT,7,0
24,ACCENTURE LLP,BUSINESS ANALYST,2013,DELAWARE,1,0
25,ACCENTURE LLP,BUSINESS ANALYST,2013,DISTRICT OF COLUMBIA,1,0
26,ACCENTURE LLP,BUSINESS ANALYST,2013,FLORIDA,1,0
27,ACCENTURE LLP,BUSINESS ANALYST,2013,GEORGIA,2,0
28,ACCENTURE LLP,BUSINESS ANALYST,2013,ILLINOIS,16,0
29,ACCENTURE LLP,BUSINESS ANALYST,2013,MASSACHUSETTS,2,0
30,ACCENTURE LLP,BUSINESS ANALYST,2013,MINNESOTA,5,0
31,ACCENTURE LLP,BUSINESS ANALYST,2013,NEW JERSEY,6,0
32,ACCENTURE LLP,BUSINESS ANALYST,2013,NEW YORK,2,0
33,ACCENTURE LLP,BUSINESS ANALYST,2013,NORTH CAROLINA,1,0
34,ACCENTURE LLP,BUSINESS ANALYST,2013,OHIO,2,0
35,ACCENTURE LLP,BUSINESS ANALYST,2013,PENNSYLVANIA,2,0
36,ACCENTURE LLP,BUSINESS ANALYST,2013,RHODE ISLAND,3,0
37,ACCENTURE LLP,BUSINESS ANALYST,2013,TEXAS,7,0
38,ACCENTURE LLP,BUSINESS ANALYST,2013,VIRGINIA,1,0
39,ACCENTURE LLP,BUSINESS ANALYST,2013,WISCONSIN,2,0
40,ACCENTURE LLP,BUSINESS ANALYST,2014,CALIFORNIA,25,0
41,ACCENTURE LLP,BUSINESS ANALYST,2014,COLORADO,1,0
42,ACCENTURE LLP,BUSINESS ANALYST,2014,CONNECTICUT,14,0
43,ACCENTURE LLP,BUSINESS ANALYST,2014,DELAWARE,3,0
44,ACCENTURE LLP,BUSINESS ANALYST,2014,FLORIDA,4,0
45,ACCENTURE LLP,BUSINESS ANALYST,2014,GEORGIA,3,0
46,ACCENTURE LLP,BUSINESS ANALYST,2014,ILLINOIS,10,0
